grid_x,grid_y,layer,direction,x,y
8115.0,1290.0,out,top,8115.000000000002,1283.0000000000002
15885.0,1290.0,out,top,15887.000000000004,1283.0000000000002
15825.0,1290.0,out,top,15829.000000000004,1283.0000000000002
15765.0,1290.0,out,top,15771.000000000004,1283.0000000000002
15720.0,1290.0,out,top,15713.000000000004,1283.0000000000002
15660.0,1290.0,out,top,15655.000000000004,1283.0000000000002
15600.0,1290.0,out,top,15597.000000000004,1283.0000000000002
15540.0,1290.0,out,top,15539.000000000004,1283.0000000000002
15480.0,1290.0,out,top,15481.000000000004,1283.0000000000002
15420.0,1290.0,out,top,15423.000000000004,1283.0000000000002
15360.0,1290.0,out,top,15365.000000000004,1283.0000000000002
15300.0,1290.0,out,top,15307.000000000004,1283.0000000000002
15255.0,1290.0,out,top,15249.000000000004,1283.0000000000002
15195.0,1290.0,out,top,15191.000000000004,1283.0000000000002
15135.0,1290.0,out,top,15133.000000000004,1283.0000000000002
15075.0,1290.0,out,top,15075.000000000004,1283.0000000000002
15015.0,1290.0,out,top,15017.000000000004,1283.0000000000002
14955.0,1290.0,out,top,14959.000000000004,1283.0000000000002
14895.0,1290.0,out,top,14901.000000000004,1283.0000000000002
14850.0,1290.0,out,top,14843.000000000004,1283.0000000000002
14790.0,1290.0,out,top,14785.000000000004,1283.0000000000002
14730.0,1290.0,out,top,14727.000000000004,1283.0000000000002
14670.0,1290.0,out,top,14669.000000000004,1283.0000000000002
14610.0,1290.0,out,top,14611.000000000004,1283.0000000000002
14550.0,1290.0,out,top,14553.000000000004,1283.0000000000002
14490.0,1290.0,out,top,14495.000000000004,1283.0000000000002
14430.0,1290.0,out,top,14437.000000000004,1283.0000000000002
14385.0,1290.0,out,top,14379.000000000004,1283.0000000000002
14325.0,1290.0,out,top,14321.000000000004,1283.0000000000002
14265.0,1290.0,out,top,14263.000000000004,1283.0000000000002
14205.0,1290.0,out,top,14205.000000000004,1283.0000000000002
14145.0,1290.0,out,top,14147.000000000004,1283.0000000000002
